project_name,version,license,pypi_url,github_url,snyk_url,type
azure-mgmt-keyvault,v10.2.1,License: MIT,https://www.pypi.org/project/azure-mgmt-keyvault,https://github.com/Azure/azure-sdk-for-python,https://snyk.io/advisor/python/azure-mgmt-keyvault,key-ecosystem-project
azure-mgmt-nspkg,v3.0.2,License: MIT,https://www.pypi.org/project/azure-mgmt-nspkg,https://github.com/Azure/azure-sdk-for-python,https://snyk.io/advisor/python/azure-mgmt-nspkg,key-ecosystem-project
azure-mgmt-resource,v23.0.0,License: MIT,https://www.pypi.org/project/azure-mgmt-resource,https://github.com/Azure/azure-sdk-for-python,https://snyk.io/advisor/python/azure-mgmt-resource,key-ecosystem-project
azure-mgmt-storage,v21.0.0,License: MIT,https://www.pypi.org/project/azure-mgmt-storage,https://github.com/Azure/azure-sdk-for-python,https://snyk.io/advisor/python/azure-mgmt-storage,key-ecosystem-project
azure-nspkg,v3.0.2,License: MIT,https://www.pypi.org/project/azure-nspkg,https://github.com/Azure/azure-sdk-for-python,https://snyk.io/advisor/python/azure-nspkg,key-ecosystem-project
azure-storage-blob,v12.16.0,License: MIT,https://www.pypi.org/project/azure-storage-blob,https://github.com/Azure/azure-sdk-for-python,https://snyk.io/advisor/python/azure-storage-blob,key-ecosystem-project
azure-storage-file-datalake,v12.11.0,License: MIT,https://www.pypi.org/project/azure-storage-file-datalake,https://github.com/Azure/azure-sdk-for-python,https://snyk.io/advisor/python/azure-storage-file-datalake,key-ecosystem-project
azure-storage-queue,v12.6.0,License: MIT,https://www.pypi.org/project/azure-storage-queue,https://github.com/Azure/azure-sdk-for-python,https://snyk.io/advisor/python/azure-storage-queue,key-ecosystem-project
Babel,v2.12.1,License: BSD-3-Clause,https://www.pypi.org/project/Babel,https://github.com/python-babel/babel,https://snyk.io/advisor/python/babel,key-ecosystem-project
backoff,v2.2.1,License: MIT,https://www.pypi.org/project/backoff,https://github.com/litl/backoff,https://snyk.io/advisor/python/backoff,key-ecosystem-project
bcrypt,v4.0.1,License: Apache-2.0,https://www.pypi.org/project/bcrypt,https://github.com/pyca/bcrypt,https://snyk.io/advisor/python/bcrypt,key-ecosystem-project
black,v23.3.0,License: MIT,https://www.pypi.org/project/black,https://github.com/psf/black,https://snyk.io/advisor/python/black,key-ecosystem-project
bleach,v6.0.0,License: Apache-2.0,https://www.pypi.org/project/bleach,https://github.com/mozilla/bleach,https://snyk.io/advisor/python/bleach,key-ecosystem-project
blinker,v1.6.2,License: MIT,https://www.pypi.org/project/blinker,https://github.com/pallets-eco/blinker,https://snyk.io/advisor/python/blinker,key-ecosystem-project
boto,v2.49.0,License: MIT,https://www.pypi.org/project/boto,https://github.com/boto/boto,https://snyk.io/advisor/python/boto,key-ecosystem-project
boto3,v1.26.118,License: Apache-2.0,https://www.pypi.org/project/boto3,https://github.com/boto/boto3,https://snyk.io/advisor/python/boto3,key-ecosystem-project
botocore,v1.29.118,License: Apache-2.0,https://www.pypi.org/project/botocore,https://github.com/boto/botocore,https://snyk.io/advisor/python/botocore,key-ecosystem-project
Brotli,v1.0.9,License: MIT,https://www.pypi.org/project/Brotli,https://github.com/google/brotli,https://snyk.io/advisor/python/brotli,key-ecosystem-project
cached-property,v1.5.2,License: BSD-3-Clause,https://www.pypi.org/project/cached-property,https://github.com/pydanny/cached-property,https://snyk.io/advisor/python/cached-property,key-ecosystem-project
cachetools,v5.3.0,License: MIT,https://www.pypi.org/project/cachetools,https://github.com/tkem/cachetools,https://snyk.io/advisor/python/cachetools,key-ecosystem-project
cattrs,v22.2.0,License: MIT,https://www.pypi.org/project/cattrs,https://github.com/python-attrs/cattrs,https://snyk.io/advisor/python/cattrs,key-ecosystem-project
celery,v5.2.7,License: BSD-2-Clause,https://www.pypi.org/project/celery,https://github.com/celery/celery,https://snyk.io/advisor/python/celery,key-ecosystem-project
Cerberus,v1.3.4,License: ISC,https://www.pypi.org/project/Cerberus,https://github.com/pyeve/cerberus,https://snyk.io/advisor/python/cerberus,key-ecosystem-project
certifi,v2022.12.7,License: MPL-2.0,https://www.pypi.org/project/certifi,https://github.com/certifi/python-certifi,https://snyk.io/advisor/python/certifi,key-ecosystem-project
cfn-lint,v0.77.2,License: MIT-0,https://www.pypi.org/project/cfn-lint,https://github.com/aws-cloudformation/cfn-lint,https://snyk.io/advisor/python/cfn-lint,key-ecosystem-project
chardet,v5.1.0,License: LGPL-2.1,https://www.pypi.org/project/chardet,https://github.com/chardet/chardet,https://snyk.io/advisor/python/chardet,key-ecosystem-project
checkov,v2.3.194,License: Apache-2.0,https://www.pypi.org/project/checkov,https://github.com/bridgecrewio/checkov,https://snyk.io/advisor/python/checkov,key-ecosystem-project
cleo,v2.0.1,License: MIT,https://www.pypi.org/project/cleo,https://github.com/python-poetry/cleo,https://snyk.io/advisor/python/cleo,key-ecosystem-project
click,v8.1.3,License: BSD-3-Clause,https://www.pypi.org/project/click,https://github.com/pallets/click,https://snyk.io/advisor/python/click,key-ecosystem-project
cloudpickle,v2.2.1,License: BSD-3-Clause,https://www.pypi.org/project/cloudpickle,https://github.com/cloudpipe/cloudpickle,https://snyk.io/advisor/python/cloudpickle,key-ecosystem-project
colorama,v0.4.6,License: BSD-3-Clause,https://www.pypi.org/project/colorama,https://github.com/tartley/colorama,https://snyk.io/advisor/python/colorama,key-ecosystem-project
coloredlogs,v15.0.1,License: MIT,https://www.pypi.org/project/coloredlogs,https://github.com/xolox/python-coloredlogs,https://snyk.io/advisor/python/coloredlogs,key-ecosystem-project
colorlog,v6.7.0,License: MIT,https://www.pypi.org/project/colorlog,https://github.com/borntyping/python-colorlog,https://snyk.io/advisor/python/colorlog,key-ecosystem-project
confluent-kafka,v2.1.0,License: Apache-2.0,https://www.pypi.org/project/confluent-kafka,https://github.com/confluentinc/confluent-kafka-python,https://snyk.io/advisor/python/confluent-kafka,key-ecosystem-project
connexion,v2.14.2,License: Apache-2.0,https://www.pypi.org/project/connexion,https://github.com/spec-first/connexion,https://snyk.io/advisor/python/connexion,key-ecosystem-project
coverage,v7.2.3,License: Apache-2.0,https://www.pypi.org/project/coverage,https://github.com/nedbat/coveragepy,https://snyk.io/advisor/python/coverage,key-ecosystem-project
